المعرف,الاسم,"العلامة الإزامية(نسبة إكمال البيانات)","العلامة الإجمالية(نسبة إكمال البيانات)","معتمدة بتاريخ","معتمدة من قبل المديرية بتاريخ","معتمدة من قبل الوزارة بتاريخ","المعرف(الشكل القانوني)","الاسم(الشكل القانوني)","مستخدم المديرية المعتمد","مستخدم الوزارة المعتمد",المعرف(المحافظة),الاسم(المحافظة)
1,"تطوير قدرات الأسرة السورية",80,80,,,,1,مؤسسة,,,1,دمشق,
2,دارنا,73,78,,,,1,مؤسسة,,,1,دمشق,
3,"البصرية لثقافة المكفوفين",73,80,,,,3,جمعية,,,,,
4,"حماة للخدمات الاجتماعية",90,82,,,,3,جمعية,,,8,حماة,
5,"نقطة وصل",80,80,,,,1,مؤسسة,,,13,"ريف دمشق",
6,"التعاون السوري الروسي",73,76,,,,1,مؤسسة,,,1,دمشق,
7,طريز,73,76,,,,3,جمعية,,,9,حمص,
8,"المشرفة للخدمات الاجتماعية",73,76,,,,3,جمعية,,,13,"ريف دمشق",
9,آرام,83,78,,,,3,جمعية,,,13,"ريف دمشق",
10,خطى,73,76,,,,3,جمعية,,,2,حلب,
11,"وسام الخير",73,76,,,,1,مؤسسة,,,2,حلب,
12,"داعل الخيرية",73,76,,,,3,جمعية,,,,,
13,"رفق لإنقاذ الحيوانات",83,78,,,,3,جمعية,,,2,حلب,
14,"صناع الريادة",80,80,,,,1,مؤسسة,,,1,دمشق,
15,"يم التنموية",73,76,,,,1,مؤسسة,,,,,
16,"اليم للخدمات الاجتماعية",73,76,,,,3,جمعية,,,5,السويداء,
17,فرصة,73,76,,,,1,مؤسسة,,,13,"ريف دمشق",
18,تشبيك,73,76,,,,1,مؤسسة,,,,,
19,"الأمل والإحسان الخيرية",73,76,,,,3,جمعية,,,11,اللاذقية,
20,"أحلى دني",100,86,,,,3,جمعية,,,14,طرطوس,
21,وجد,68,74,,,,3,جمعية,,,,,
22,نارنج,73,76,,,,3,جمعية,,,,,
23,"العلوم الرياضية السورية",73,76,,,,3,جمعية,,,2,حلب,
24,"الرحمة المسيحية",83,78,,,,3,جمعية,,,11,اللاذقية,
25,"العلماء بحمص",73,76,,,,3,جمعية,,,9,حمص,
26,"المرأة العربية",83,80,,,,3,جمعية,,,8,حماة,
27,"البر والخدمات الاجتماعية في حمص",90,82,,,,3,جمعية,,,9,حمص,
28,"الخيرية لمستخدمي التربية بحلب",73,76,,,,3,جمعية,,,2,حلب,
29,"الجغرافية السورية",73,76,,,,3,جمعية,,,2,حلب,
30,"البر والخدمات في بانياس",90,82,,,,3,جمعية,,,14,طرطوس,
31,"رعاية الطفل",73,76,,,,3,جمعية,,,9,حمص,
32,"نادي عمال شركة السكر بحمص",73,76,,,,4,نادي,,,9,حمص,
33,"متقاعدي الشرطة والجيش بحلب",73,76,,,,3,جمعية,,,2,حلب,
34,"العودة الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
35,"الرعاية الاجتماعية الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
36,"الخيرية الفلسطينية",73,76,,,,3,جمعية,,,2,حلب,
37,"رابطة الطلاب الفلسطينيين العرب",73,76,,,,5,رابطة,,,1,دمشق,
38,"رابطة طلاب الاردن",73,76,,,,5,رابطة,,,1,دمشق,
39,"الخيرية لإغاثة فقراء حي الصالحية",73,76,,,,3,جمعية,,,1,دمشق,
40,"البر والخدمات الاجتماعية بدرعا",85,80,,,,3,جمعية,,,,,
41,"الفارابي بحماة",73,76,,,,3,جمعية,,,8,حماة,
42,"رابطة موظفي مصرف سورية المركزي",73,76,,,,5,رابطة,,,1,دمشق,
43,"الندوة الثقافية النسائية",73,76,,,,3,جمعية,,,1,دمشق,
44,"اغاثة المرضى الفقراء",83,78,,,,3,جمعية,,,1,دمشق,
45,"نقطة الحليب",73,76,,,,3,جمعية,,,1,دمشق,
46,"المبرة الخيرية في المزة",73,76,,,,3,جمعية,,,1,دمشق,
47,"المبرة النسائية للتنمية الاجتماعية وكفالة الأيتام",73,76,,,,3,جمعية,,,1,دمشق,
48,"المستوصف الخيري",73,76,,,,3,جمعية,,,1,دمشق,
49,"رابطة المحاربين القدماء",73,76,,,,5,رابطة,,,1,دمشق,
50,"النادي السينمائي",83,78,,,,4,نادي,,,1,دمشق,
51,"كيوان الخير",90,84,,,,1,مؤسسة,,,1,دمشق,
52,"الاسعاف العام - دار السعادة",73,76,,,,3,جمعية,,,1,دمشق,
53,"المرأة العربية بالحسكة",73,76,,,,3,جمعية,,,3,الحسكة,
54,"شارع بغداد والعقيبة وساروجة الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
55,"الاسعاف الخيري التعليمي",90,80,,,,3,جمعية,,,1,دمشق,
56,"اتحاد متقاعدي الجيش والشرطة",73,76,,,,2,اتحاد,,,1,دمشق,
57,"رابطة الحقوقيين",73,76,,,,5,رابطة,,,1,دمشق,
58,"المساعدة الخيرية لحي العمارة",73,76,,,,3,جمعية,,,1,دمشق,
59,"المرأة العربية",73,76,,,,3,جمعية,,,8,حماة,
60,"الخيرية الشركسية",73,76,,,,3,جمعية,,,1,دمشق,
61,"النادي العصري",73,76,,,,4,نادي,,,1,دمشق,
62,"العربية المتحدة للآداب والفنون",90,80,,,,3,جمعية,,,2,حلب,
63,"نادي دوحة الميماس",73,76,,,,4,نادي,,,9,حمص,
64,"الجمعية الاسلامية لكفالة الايتام واعمال البر و الاحسان",83,80,,,,3,جمعية,,,8,حماة,
65,"رعاية المكفوفين والصم والبكم في حماة",73,76,,,,3,جمعية,,,8,حماة,
66,"الصليب لإعانة الأرمن",73,76,,,,3,جمعية,,,11,اللاذقية,
67,"الخيرية للجالية اليونانية",73,76,,,,3,جمعية,,,1,دمشق,
68,"رابطة رجال الثورة السورية",73,76,,,,5,رابطة,,,1,دمشق,
69,"مكافحي الأمية",73,76,,,,3,جمعية,,,1,دمشق,
70,"مصياف الخيرية",73,76,,,,3,جمعية,,,8,حماة,
71,"القديس غريغوريوس الارثوذكسية",83,78,,,,3,جمعية,,,1,دمشق,
72,"جمعية أعمال البر والرعاية الاجتماعية (صندوق العافية)",90,80,,,,3,جمعية,,,8,حماة,
73,"المساعدات الخيرية بمعرونة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
74,"اعانة الفقراء - ميدان طالع",73,76,,,,3,جمعية,,,1,دمشق,
75,"اسرة العمل الخيري",73,76,,,,3,جمعية,,,1,دمشق,
76,"القديس منصور الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
77,"الصحة والتعليم",73,76,,,,3,جمعية,,,1,دمشق,
78,"الانصار الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
79,"اخوية الاحسان للسيدات",73,76,,,,3,جمعية,,,1,دمشق,
80,"العلماء في حماة",73,76,,,,3,جمعية,,,8,حماة,
81,"القديس منصور الخيرية بالحسكة",73,76,,,,3,جمعية,,,3,الحسكة,
82,"الرابطة الأدبية-الميتم الأرثوذكسي",73,76,,,,5,رابطة,,,9,حمص,
83,"تعليم الفقير واليتيم المجاني",73,76,,,,3,جمعية,,,1,دمشق,
84,"حي الأقصاب الخيرية",85,80,,,,3,جمعية,,,,,
85,"المواساة الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
86,"نادي الوفاء الدمشقي",73,76,,,,4,نادي,,,1,دمشق,
87,المحسنية,73,76,,,,3,جمعية,,,1,دمشق,
88,"وردة دمشق الخيرية لكافة المذاهب والملل",73,76,,,,3,جمعية,,,1,دمشق,
89,"المواساة الإسلامية باللاذقية",73,76,,,,3,جمعية,,,11,اللاذقية,
90,"رابطة المتقاعدين المدنيين السوريين",73,76,,,,5,رابطة,,,1,دمشق,
91,"الخيرية في الميدان - مجتهد",73,76,,,,3,جمعية,,,1,دمشق,
92,"النداء الخيري",73,76,,,,3,جمعية,,,1,دمشق,
93,"الخيرية في الميدان الفوقاني سلطاني",73,76,,,,3,جمعية,,,1,دمشق,
94,"الرابطة الادبية الاجتماعية",73,76,,,,5,رابطة,,,1,دمشق,
95,"الخيرية لإغاثة فقراء حي السويقة",73,76,,,,3,جمعية,,,1,دمشق,
96,"المطعم الشعبي والمستوصف المجاني",73,76,,,,3,جمعية,,,1,دمشق,
97,"القديسة تقلا للروم الارثوذكس الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
98,"الصليب لإعانة الارمن",73,76,,,,3,جمعية,,,11,اللاذقية,
99,"الشبيبة الارمنية",73,76,,,,3,جمعية,,,1,دمشق,
100,"القديس جاورجيوس لدفن الموتى",73,76,,,,3,جمعية,,,1,دمشق,
101,"اتحاد الجمعيات الخيرية بدمشق",90,82,,,,2,اتحاد,,,1,دمشق,
102,"الامام النووي الخيرية",87,82,,,,3,جمعية,,,6,درعا,
103,"الاعمار والاحسان الإسلامية الجعفرية",73,76,,,,3,جمعية,,,2,حلب,
104,"التعاضد والاخاء الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
105,"المقاصد الخيرية في الميدان باب مصلى",73,76,,,,3,جمعية,,,1,دمشق,
106,"المحدث الاكبر الشيخ بدر الدين الحسني",73,76,,,,3,جمعية,,,1,دمشق,
107,"حاملات الطيب الصحناوية",73,76,,,,3,جمعية,,,1,دمشق,
108,"السورية لمكافحة السل والامراض التنفسية",73,76,,,,3,جمعية,,,1,دمشق,
109,"الترقي الثقافي",73,76,,,,3,جمعية,,,1,دمشق,
110,"دير عطية الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
111,"القديس اليان الحمصي للرجال",73,76,,,,3,جمعية,,,1,دمشق,
112,"المدرسة الهاشمية",73,76,,,,3,جمعية,,,1,دمشق,
113,"إصلاح ذات البين",73,76,,,,3,جمعية,,,9,حمص,
114,"دوحة الادب",73,76,,,,3,جمعية,,,1,دمشق,
115,"القديس جاورجيوس الأرذوكسية بعربين",73,76,,,,3,جمعية,,,13,"ريف دمشق",
116,"القديس لاونديوس للروم الكاثوليك",73,76,,,,3,جمعية,,,1,دمشق,
117,"نادي التمثيل العربي",73,76,,,,4,نادي,,,2,حلب,
118,"حماية الطفولة بحماة",90,82,,,,3,جمعية,,,8,حماة,
119,"المواساة الإسلامية بحلب",73,76,,,,3,جمعية,,,2,حلب,
120,"الهداية الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
121,"النادي العربي",73,76,,,,4,نادي,,,1,دمشق,
122,"الاحسان الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
123,"المعهد العربي الاسلامي",73,76,,,,3,جمعية,,,1,دمشق,
124,"القديس يوحنا الدمشقي",73,76,,,,3,جمعية,,,1,دمشق,
125,"الخيرية الاصلاحية في البيضا",73,76,,,,3,جمعية,,,8,حماة,
126,"المبرات الاسلامية",73,76,,,,3,جمعية,,,1,دمشق,
127,"المدرسة اليوسفية",83,78,,,,3,جمعية,,,1,دمشق,
128,"الزهراء في بانياس",73,76,,,,3,جمعية,,,14,طرطوس,
129,"الجيل الجديد الثقافية بحلب",80,78,,,,3,جمعية,,,2,حلب,
130,"نادي النهضة",73,76,,,,4,نادي,,,2,حلب,
131,"الخيرية لمواساة الفقراء بحلب",73,76,,,,3,جمعية,,,2,حلب,
132,"الاخاء الخيري",73,76,,,,3,جمعية,,,1,دمشق,
133,"النبي الياس بمعرونة",73,76,,,,3,جمعية,,,13,"ريف دمشق",
134,"اتحاد جمعيات رعاية المكفوفين",73,76,,,,2,اتحاد,,,1,دمشق,
135,"النادي الفني للتمثيل والموسيقا",73,76,,,,4,نادي,,,1,دمشق,
136,"مأذنة الشحم الخيرية",73,76,,,,3,جمعية,,,1,دمشق,
137,"الصليب لإعانة الأرمن الأرثوذكس بحلب",87,82,,,,3,جمعية,,,2,حلب,
138,الغراء,90,86,,,,3,جمعية,,,1,دمشق,
139,"مستخدمي وزارة التربية",73,76,,,,3,جمعية,,,1,دمشق,
140,"القديس الياس الغيور الصحناوية",73,76,,,,3,جمعية,,,1,دمشق,
141,"الفرقة الشعبية للآداب والفنون",90,82,,,,3,جمعية,,,2,حلب,
142,"دار العجزة والمسنين في حماة",91,84,,,,3,جمعية,,,,,
143,"الجمعية الخيرية الإسلامية",90,88,,,,3,جمعية,,,1,دمشق,
144,"الطبية العربية",73,76,,,,3,جمعية,,,1,دمشق,
145,"نادي موظفي وعمال الشركة السورية لنقل النفط",73,76,,,,4,نادي,,,9,حمص,
146,"القديس بندلايمون لليتامى",73,76,,,,3,جمعية,,,1,دمشق,
147,"رابطة موظفي ومستخدمي مصرف سورية المركزي",73,76,,,,5,رابطة,,,2,حلب,
148,"جمعية الثقافة الوطنية",78,76,,,,3,جمعية,,,,,
